modality,2015,2017,2018,2019,2020,2021,2022,2023,2024,2025,study_ids
ECG,1,1,4,1,24,1,12,6,15,270,205; 253; 278; 330; 36; 43; 445; 447; 455; 460; 475; 495
PPG,0,5,16,2,144,4,19,0,7,34,205; 266; 278; 28; 298; 305; 374; 382; 401; 459; 486; 55; 61
EDA,0,4,0,0,18,0,0,0,0,0,189; 305
SCG,0,0,0,0,0,120,0,0,0,0,147
VHF,0,0,0,0,0,0,0,0,27,0,75
microphone,0,0,0,0,0,2,0,0,3,0,382; 61
multimodal,0,0,0,0,9,2,0,0,3,0,305; 382; 61
